Year,Scenario,Crude oil,Oil products,Natural gas,LNG,Coal,Electricity,Uranium,Bioenergy
2015,__,1699,815,1154,57,276,36,0,19
2030,BAU,1545,375,1361,97,199,44,0,15
2030,PRO,1050,374,1073,44,120,45,0,24
2030,FIM,1113,380,1309,39,82,45,0,24
2030,FED,1101,373,1079,34,81,45,0,24
2030,80P,1088,396,1322,34,117,45,0,24
2050,BAU,1234,369,1545,71,222,44,0,9
2050,PRO,709,381,92,8,78,44,0,30
2050,FIM,890,403,83,8,28,44,0,30
2050,FED,770,640,80,8,27,44,0,30
2050,80P,764,730,79,8,78,44,0,30
