Year,Scenario,Year,Scenario,Year,Scenario,Year,Scenario,Hydro,Other renewables,Biomass,Conventional oil,Natural gas,Coal,Uranium
2015,__,4,6,16,6,0,83,0,0
2030,BAU,4,23,24,0,0,1,0,0
2030,PRO,4,34,26,0,0,1,0,0
2030,FIM,4,41,24,0,0,1,0,0
2030,FED,4,45,27,0,0,1,0,0
2030,80P,4,45,27,0,0,1,0,0
2050,BAU,4,38,21,0,0,0,0,0
2050,PRO,14,58,23,0,0,0,0,0
2050,FIM,14,62,27,0,0,0,0,0
2050,FED,16,67,36,0,0,0,0,0
2050,80P,16,67,35,0,0,0,0,0
